Price_USD,Comuna,Dorms,Baths,Built Area,Total Area,Parking
211706,Maipú,5,2.0,127.0,210.0,2.0
1325207,LoBarnechea,5,4.0,260.0,700.0,
316853,Ñuñoa,3,2.0,70.0,84.0,
482659,Ñuñoa,3,2.0,99.0,127.0,
478227,Ñuñoa,3,2.0,94.0,122.0,
442770,Ñuñoa,2,2.0,93.0,124.0,
438781,Ñuñoa,2,3.0,96.0,123.0,1.0
886426,LoBarnechea,4,4.0,275.0,921.0,5.0
1325207,LoBarnechea,4,5.0,389.0,900.0,6.0
1280885,LoBarnechea,6,4.0,500.0,5900.0,17.0
611634,LasCondes,4,4.0,152.0,500.0,3.0
660387,Colina,5,7.0,250.0,5000.0,4.0
841218,Providencia,8,4.0,240.0,20.0,3.0
534072,LoBarnechea,3,3.0,140.0,200.0,
394460,Peñalolén,5,4.0,140.0,256.0,2.0
1174514,LasCondes,5,4.0,241.0,706.0,
1019390,LasCondes,7,4.0,250.0,480.0,
547368,Vitacura,4,3.0,109.0,261.0,
311333,Independencia,5,3.0,153.0,382.0,
199446,PuenteAlto,3,3.0,92.0,180.0,2.0
797783,LaReina,6,5.0,202.0,638.0,
749030,LaReina,10,5.0,310.0,926.0,
180573,LaFlorida,4,2.0,92.0,162.0,3.0
232687,PuenteAlto,3,3.0,90.0,150.0,1.0
170610,PuenteAlto,4,2.0,100.0,191.0,4.0
341274,PuenteAlto,4,3.0,,,2.0
1595123,Peñalolén,7,7.0,450.0,4000.0,6.0
105853,Ñuñoa,3,1.0,75.0,75.0,
970636,Colina,6,5.0,370.0,5000.0,2.0
243767,Maipú,3,1.0,94.0,267.0,2.0
310249,Huechuraba,4,2.0,118.0,200.0,2.0
686980,LoBarnechea,4,3.0,164.0,220.0,2.0
602770,Vitacura,3,3.0,125.0,256.0,2.0
2437671,LoBarnechea,6,5.0,604.0,4720.0,8.0
930304,LasCondes,5,4.0,167.0,482.0,
1462603,LoBarnechea,6,5.0,235.0,815.0,
1440442,LoBarnechea,5,5.0,293.0,742.0,
1325207,LoBarnechea,5,5.0,294.0,818.0,
1227700,Colina,4,4.0,296.0,5016.0,
1373960,LoBarnechea,6,4.0,282.0,875.0,
498132,LoBarnechea,3,3.0,121.0,379.0,
1285318,LoBarnechea,5,5.0,264.0,881.0,
1351800,LoBarnechea,6,5.0,306.0,1137.0,5.0
1684209,LoBarnechea,7,6.0,600.0,2000.0,
1639888,LoBarnechea,7,5.0,495.0,7200.0,11.0
1108032,Vitacura,8,5.0,220.0,455.0,6.0
1772852,LoBarnechea,4,4.0,328.0,924.0,6.0
249066,Cerrillos,6,3.0,183.0,282.0,2.0
1772852,LoBarnechea,4,3.0,236.0,936.0,5.0
620498,LoBarnechea,4,3.0,150.0,315.0,
65152,Cerrillos,2,1.0,100.0,120.0,1.0
1058531,Maipú,6,2.0,300.0,1500.0,5.0
704709,Vitacura,4,3.0,140.0,270.0,2.0
864265,LoBarnechea,5,4.0,205.0,480.0,2.0
704709,Vitacura,4,2.0,145.0,289.0,
841661,LoBarnechea,5,4.0,176.0,469.0,2.0
1945705,LoBarnechea,5,4.0,404.0,906.0,
286426,Recoleta,3,2.0,180.0,254.0,2.0
168120,LaFlorida,3,2.0,104.0,166.0,
1993129,LoBarnechea,8,8.0,660.0,1294.0,8.0
1325207,LasCondes,7,5.0,343.0,1112.0,
2415511,LoBarnechea,7,7.0,467.0,1301.0,6.0
1648752,LoBarnechea,3,3.0,428.0,1800.0,6.0
2029915,LoBarnechea,5,4.0,367.0,1710.0,
1369528,LoBarnechea,5,7.0,330.0,970.0,3.0
1108032,LoBarnechea,7,4.0,327.0,950.0,5.0
112080,Conchalí,3,1.0,97.0,120.0,
744598,LaReina,5,3.0,225.0,486.0,3.0
2650413,LoBarnechea,6,6.0,614.0,1644.0,5.0
1950137,LoBarnechea,7,8.0,560.0,1300.0,8.0
1041550,LoBarnechea,5,5.0,260.0,694.0,2.0
3368418,LoBarnechea,5,5.0,800.0,1800.0,
70984,Lampa,4,2.0,57.0,79.0,2.0
168120,Renca,3,3.0,83.0,120.0,3.0
881994,Pirque,5,4.0,,,
496887,Pirque,5,4.0,298.0,5010.0,
122061,PuenteAlto,4,1.0,,,
199253,Macul,5,,150.0,171.0,
664376,LasCondes,4,2.0,160.0,200.0,
689196,Ñuñoa,6,4.0,242.0,443.0,4.0
573961,LasCondes,4,2.0,135.0,319.0,2.0
527423,Vitacura,4,3.0,140.0,303.0,2.0
1196675,LaReina,5,5.0,297.0,780.0,6.0
1595567,Vitacura,7,5.0,360.0,578.0,2.0
842105,LoBarnechea,6,5.0,250.0,464.0,2.0
620498,Vitacura,5,3.0,170.0,210.0,2.0
1085872,LoBarnechea,4,3.0,300.0,1220.0,3.0
873130,LoBarnechea,5,5.0,215.0,611.0,3.0
