price_usd;comuna;habitaciones;banio;area_construida;area_total
1662049;Colina;6;6;292;5000
1728531;Colina;4;7;650;3000
372299;Colina;5;4;160;488
895290;Colina;4;5;364;5000
1373960;Colina;5;6;580;4000
1187811;Colina;4;4;2061;392
793351;Colina;4;4;220;400
500831;Colina;3;2;139;5056
1152354;Colina;6;7;850;5002
421052;Colina;13;13;350;350
620498;Colina;4;3;260;456
766758;Colina;6;5;305;305
706925;Colina;5;3;255;7800
185706;Colina;3;3;240;240
576177;Colina;6;3;357;4000
554016;Colina;3;3;179;450
89664;Colina;2;1;45;66
429917;Colina;3;3;140;400
473795;Colina;4;3;184;385
567313;Colina;3;3;140;520
831024;Colina;4;4;250;5004
341274;Colina;3;3;95;485
709141;Colina;6;5;193;491
819944;Colina;4;5;247;556
440997;Colina;3;3;120;400
274349;Colina;3;3;128;300
1001661;Colina;4;4;100;250
443213;Colina;3;2;160;400
283213;Colina;4;3;130;130
226039;Colina;3;3;98;98
168421;Colina;4;2;84;84
1285318;Colina;6;7;633;5050
74720;Colina;3;2;100;200
620498;Colina;6;5;165;550
212742;Colina;3;3;105;182
819501;Colina;2;3;202;580
64757;Colina;3;1;80;80
163989;Colina;3;2;76;76
199253;Colina;5;1;147;180
119552;Colina;3;2;56;56
580609;Colina;5;4;270;270
163989;Colina;3;2;76;76
305817;Colina;4;2;90;305
837672;Colina;4;4;300;350
212742;Colina;3;3;105;182
230471;Colina;3;3;93;93
633795;Colina;6;5;207;468
700276;Colina;2;2;205;5358
819944;Colina;3;4;300;5000
452077;Colina;3;3;139;368
186149;Colina;3;3;90;90
149440;Colina;2;1;88;295
274349;Colina;3;3;128;300
230471;Colina;3;3;90;90
354570;Colina;3;3;92;202
259280;Colina;3;3;112;150
819944;Colina;5;5;330;2300
74720;Colina;2;1;55;55
704709;Colina;4;4;247;360
731301;Colina;5;3;280;280
704709;Colina;3;3;220;220
206094;Colina;3;3;81;100
354570;Colina;4;3;140;140
775623;Colina;5;4;340;340
296953;Colina;6;2;215;1181
248199;Colina;3;3;112;112
509252;Colina;4;3;126;126
183933;Colina;3;3;98;98
487534;Colina;3;3;139;412
296953;Colina;6;2;225;1120
230471;Colina;3;2;72;72
149440;Colina;2;1;88;295
179501;Colina;3;2;73;73
296953;Colina;6;2;215;1181
611634;Colina;4;4;184;431
509252;Colina;4;4;140;460
212742;Colina;3;3;105;182
208310;Colina;4;3;110;170
886426;Colina;3;3;524;5250
265928;Colina;3;3;113;130
398892;Colina;3;3;152;325
554016;Colina;4;3;140;459
611634;Colina;3;3;170;735
766758;Colina;3;3;310;820
1240996;Colina;6;6;300;5000
571745;Colina;3;3;140;514
265928;Colina;3;3;130;280
1143489;Colina;5;6;490;5000
177285;Colina;3;2;62;62
611634;Colina;4;4;250;5000
660387;Colina;3;3;188;449
881994;Colina;5;4;301;5002
554016;Colina;3;3;163;377
